Date,Open,High,Low,Close,Adj Close,Volume
10-02-2004,84.544807,85.458809,83.630814,84.723328,70.278824,61960708
11-02-2004,88.543549,88.543549,82.988159,83.873596,69.573944,43484014
12-02-2004,84.294891,84.958969,83.402313,83.930717,69.62133,41460601
13-02-2004,83.709358,85.315994,83.416595,85.030373,70.533493,32714583
16-02-2004,85.401688,85.972931,84.294891,84.680481,70.243286,39859435
17-02-2004,84.55909,86.401367,84.259186,85.508797,70.930374,64571340
18-02-2004,85.951508,87.186836,85.708733,86.379951,71.653008,79025359
19-02-2004,86.415649,86.972618,82.838203,83.166672,68.987541,58483253
20-02-2004,82.988159,84.973251,82.902473,83.89502,69.591721,70286532
23-02-2004,84.116379,84.830437,79.989105,80.738869,66.973663,65759397
24-02-2004,79.332169,81.203003,78.5467,80.79599,67.021049,87906394
25-02-2004,81.402946,81.402946,78.868027,79.289322,65.771263,48753908
26-02-2004,79.11795,80.588913,76.975761,77.447044,64.243065,73405355
27-02-2004,77.911186,79.489258,77.832642,79.217918,65.712021,57852424
01-03-2004,81.260132,81.324394,79.446419,81.017349,67.204674,43660204
02-03-2004,81.017349,81.017349,81.017349,81.017349,67.204674,0
03-03-2004,81.281555,83.388031,80.988785,82.952454,68.809868,59635900
04-03-2004,82.545441,83.402313,81.488632,81.92421,67.956909,29758973
05-03-2004,81.545753,83.902153,81.545753,83.709358,69.437721,28967647
08-03-2004,83.973564,85.544495,83.887878,85.08036,70.574966,34014752
09-03-2004,85.687309,85.687309,82.616844,83.44516,69.218552,31984792
10-03-2004,82.973877,83.116692,81.431503,81.931351,67.962822,28506125
11-03-2004,81.688568,82.545441,80.403259,80.810272,67.032898,39067423
12-03-2004,80.617477,81.260132,79.267899,80.34613,66.647896,37885983
15-03-2004,80.981644,81.374382,77.118576,77.839783,64.568855,46382674
16-03-2004,77.118576,79.239342,76.475922,77.382782,64.189766,59604453
17-03-2004,77.832642,78.832321,76.425941,77.175705,64.017998,56094997
18-03-2004,77.404205,77.704109,73.598259,74.133804,61.49469,78318627
19-03-2004,73.8339,75.483376,73.8339,74.726471,61.986317,54872524
22-03-2004,72.705681,74.683632,72.1987,72.505745,60.144203,45062416
23-03-2004,72.691399,73.905304,72.155853,73.084137,60.623985,46492385
24-03-2004,73.119835,73.583977,72.234398,73.162682,60.68914,49617581
25-03-2004,73.269791,74.305176,72.877052,73.412605,60.896458,67303145
26-03-2004,73.969566,75.733299,73.969566,75.076363,62.276566,52848082
29-03-2004,75.140633,76.347389,74.990677,75.519081,62.643787,39982107
30-03-2004,75.704735,76.647301,75.12635,75.28344,62.448326,44563271
31-03-2004,75.269157,77.118576,74.940689,76.840096,63.739597,38436034
01-04-2004,76.975761,79.646355,76.975761,79.382149,65.848251,54225997
02-04-2004,92.827919,92.827919,79.367867,80.803131,67.026985,49885884
05-04-2004,80.97451,83.023865,80.97451,82.131287,68.128677,45349716
06-04-2004,82.259819,83.173813,80.638901,82.174126,68.164223,50013380
07-04-2004,82.809647,82.959595,81.402946,81.97419,67.99839,29112908
08-04-2004,81.402946,82.788223,80.760284,81.824242,67.873985,32483517
09-04-2004,81.824242,81.824242,81.824242,81.824242,67.873985,0
12-04-2004,82.188408,82.188408,79.789162,80.224747,66.547211,26825029
13-04-2004,80.546066,82.245537,79.317886,81.874222,67.915443,28393460
14-04-2004,81.874222,81.874222,81.874222,81.874222,67.915443,0
15-04-2004,82.673973,83.002441,80.34613,80.738869,66.973663,41674183
16-04-2004,80.831696,81.795677,80.503227,80.853119,67.068428,21214471
19-04-2004,80.474663,81.317253,78.632385,78.918015,65.463249,28532292
20-04-2004,79.189354,79.189354,78.261078,78.882309,65.43364,24597348
21-04-2004,78.553841,81.324394,78.5467,81.167305,67.329056,33200136
22-04-2004,81.117317,81.945625,80.474663,81.224426,67.376457,22671798
23-04-2004,81.117317,82.08844,80.710304,81.017349,67.204674,25127002
26-04-2004,null,null,null,null,null,null
27-04-2004,79.974823,79.974823,76.740128,77.040031,63.905445,46796932
28-04-2004,77.125717,78.403885,76.711563,77.175705,64.017998,46095878
29-04-2004,76.975761,77.689827,75.190613,75.590485,62.703037,115694318
30-04-2004,80.688881,89.271896,74.576523,75.183472,62.365421,52063394
03-05-2004,75.262016,75.876114,73.648239,75.469093,62.602352,57680023
04-05-2004,76.533051,90.407249,75.561928,75.797562,62.874809,33511412
05-05-2004,75.976082,76.183159,75.269157,75.690453,62.785965,29872962
06-05-2004,76.404518,77.589859,76.283127,77.189987,64.029846,41271003
07-05-2004,75.976082,76.904358,75.519081,76.033203,63.070263,31133443
10-05-2004,75.647614,75.647614,73.576836,74.148087,61.506557,44757505
11-05-2004,72.919899,72.97702,69.071114,70.013672,58.077007,51060084
12-05-2004,69.121094,71.320404,69.121094,70.927673,58.83519,43733461
13-05-2004,68.54985,74.883568,67.69297,73.04129,60.588455,91574225
14-05-2004,72.834213,73.948151,67.293098,68.135689,56.519199,86191330
17-05-2004,67.121727,67.393066,54.51141,57.738964,47.895016,65591344
18-05-2004,61.409237,65.3937,58.567276,61.937641,51.377869,94544490
19-05-2004,63.444309,66.550476,63.444309,64.615372,53.599072,80665492
20-05-2004,66.12204,66.364822,62.85878,63.294357,53.581432,65800535
21-05-2004,63.108704,63.122986,61.416378,62.765953,53.134113,47231489
24-05-2004,64.26548,65.407982,63.558559,64.815308,54.868984,47313253
25-05-2004,64.693916,65.679321,62.35894,65.079514,55.092636,56063998
26-05-2004,65.693604,66.836098,65.036667,65.593636,55.52787,47928754
27-05-2004,64.551109,65.343712,63.779919,64.129807,54.28867,39968369
28-05-2004,63.844185,64.394012,60.86655,61.79483,52.312019,62354043
31-05-2004,61.623455,62.680267,58.910023,61.380676,51.961414,67591572
01-06-2004,62.123299,63.265797,61.716286,62.009048,52.493362,43520566
02-06-2004,62.251831,63.258656,62.066174,62.758812,53.128063,30086172
03-06-2004,63.694233,64.579666,60.423836,61.173599,51.786106,50476751
04-06-2004,60.409554,62.123299,60.352428,61.909081,52.40873,43075085
07-06-2004,62.123299,64.208359,62.123299,63.522858,53.774868,46296295
08-06-2004,63.551418,65.200897,63.051579,65.015244,55.038235,50876220
09-06-2004,65.265167,65.44368,64.165512,64.37973,54.500244,35964999
10-06-2004,64.108391,64.551109,63.551418,63.937012,54.125462,24625595
11-06-2004,63.837044,63.837044,61.409237,61.65202,52.19112,33069629
14-06-2004,61.266426,62.466049,60.623772,62.109016,52.577988,50768862
15-06-2004,62.137581,64.622513,61.980488,64.351166,54.476063,47515722
16-06-2004,64.693916,65.093796,63.208672,63.715652,53.938072,31887391
17-06-2004,64.179794,65.258026,62.708828,64.879578,54.923386,41332048
18-06-2004,64.836731,64.836731,63.001595,63.515717,53.768818,34449722
21-06-2004,63.722794,63.965576,61.844814,62.051891,52.529625,40898275
22-06-2004,61.809113,62.908768,61.409237,61.659161,52.197166,37762114
23-06-2004,62.194706,62.194706,58.431602,58.73151,49.718784,77509410
24-06-2004,58.695805,60.766582,58.695805,60.416695,51.145367,82669355
25-06-2004,60.552364,62.351799,60.423836,61.637737,52.179028,57619650
28-06-2004,61.480644,63.258656,61.480644,63.080139,53.400085,38011309
29-06-2004,62.83736,63.872749,62.059032,63.301498,53.587467,48639177
30-06-2004,63.437172,63.729935,61.123611,61.359253,51.943279,62105850
01-07-2004,62.751671,62.823078,61.423519,62.630283,53.01926,34632437
02-07-2004,62.123299,62.60886,61.480644,61.966206,52.457085,39745713
05-07-2004,62.037609,62.830219,61.302128,61.473503,52.039997,50545057
06-07-2004,61.509205,62.694546,61.237862,62.60886,53.001133,41390110
07-07-2004,62.694546,63.265797,62.123299,62.60886,53.001133,51000915
08-07-2004,62.787376,63.822765,61.137894,61.694862,52.227394,76813706
09-07-2004,57.12487,63.023014,57.12487,62.680267,53.061581,31738721
12-07-2004,62.408924,62.83736,61.709145,62.373219,52.801632,20134115
13-07-2004,61.980488,62.651703,61.20216,61.480644,52.046047,16465164
14-07-2004,61.851955,61.851955,59.509834,59.695492,50.534828,47985843
15-07-2004,60.081085,60.609489,59.302757,59.995396,50.788719,52229108
16-07-2004,60.266739,61.023643,59.738335,60.616631,51.314617,57500879
19-07-2004,60.83799,61.252144,60.295303,60.523804,51.236034,43241108
20-07-2004,64.26548,64.26548,60.123928,61.20216,51.810284,70500981
21-07-2004,61.552052,62.794518,61.394955,62.023331,52.505459,36304963
22-07-2004,63.408607,65.400841,62.551735,64.965263,54.995922,73034616
